epoch,train_loss,val_loss,val_mIoU,val_mDICE,val_flood_IoU,val_flood_F1,val_flood_Precision,val_flood_Recall
1,0.885460,0.519982,0.602930,0.690374,0.349159,0.515794,0.364364,0.911419
2,0.495420,0.459146,0.611090,0.699284,0.368454,0.537359,0.376150,0.948760
3,0.439980,0.425277,0.655048,0.738552,0.446443,0.616302,0.468322,0.912361
4,0.414557,0.404358,0.651639,0.735972,0.442583,0.612573,0.457772,0.936814
5,0.399580,0.394652,0.663851,0.746372,0.464667,0.633539,0.480202,0.937669
6,0.385390,0.383765,0.666438,0.748725,0.470575,0.639045,0.483937,0.947453
7,0.375851,0.377063,0.670395,0.752185,0.479073,0.646868,0.493077,0.948105
8,0.368496,0.372949,0.680315,0.760412,0.497727,0.663820,0.513876,0.943521
9,0.362784,0.367004,0.680560,0.760697,0.499317,0.665101,0.516123,0.944597
10,0.356382,0.366456,0.665632,0.748273,0.471053,0.639348,0.479756,0.965787
11,0.353014,0.361290,0.689891,0.768276,0.517140,0.680832,0.535768,0.941419
12,0.350016,0.359660,0.672213,0.753843,0.483503,0.650901,0.493051,0.964272
13,0.346410,0.358609,0.670584,0.752443,0.480444,0.648006,0.488824,0.967765
14,0.344224,0.354888,0.686106,0.765286,0.510422,0.674944,0.525135,0.951900
15,0.342751,0.352863,0.688929,0.767532,0.515439,0.679358,0.529847,0.952995
16,0.340514,0.351599,0.692552,0.770533,0.523010,0.686000,0.539816,0.947703
17,0.338461,0.350261,0.687871,0.766720,0.513697,0.677847,0.526891,0.956472
18,0.337905,0.349544,0.682969,0.762733,0.504611,0.669729,0.515964,0.961638
19,0.337352,0.350724,0.677523,0.758261,0.494005,0.660313,0.502718,0.968174
20,0.335259,0.347254,0.690212,0.768646,0.518666,0.682143,0.532715,0.955261
21,0.334215,0.348647,0.678928,0.759410,0.496645,0.662664,0.505269,0.968751
