city,x,y,before,after,mask,split
Hardoi,2596,16284,D:\CV\images\before\Hardoi_2018-07-04_before_2596_16284.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_16284.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_16284.tif,train
Hardoi,2596,17936,D:\CV\images\before\Hardoi_2018-07-04_before_2596_17936.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_17936.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_17936.tif,train
Hardoi,2596,18880,D:\CV\images\before\Hardoi_2018-07-04_before_2596_18880.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_18880.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_18880.tif,train
Hardoi,2596,20060,D:\CV\images\before\Hardoi_2018-07-04_before_2596_20060.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_20060.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_20060.tif,train
Hardoi,2596,20768,D:\CV\images\before\Hardoi_2018-07-04_before_2596_20768.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_20768.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_20768.tif,train
Hardoi,2596,21004,D:\CV\images\before\Hardoi_2018-07-04_before_2596_21004.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_21004.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_21004.tif,train
Hardoi,2596,21712,D:\CV\images\before\Hardoi_2018-07-04_before_2596_21712.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_21712.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_21712.tif,train
Hardoi,2596,21948,D:\CV\images\before\Hardoi_2018-07-04_before_2596_21948.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_21948.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_21948.tif,train
Hardoi,2596,22420,D:\CV\images\before\Hardoi_2018-07-04_before_2596_22420.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_22420.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_22420.tif,train
Hardoi,2596,22656,D:\CV\images\before\Hardoi_2018-07-04_before_2596_22656.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_22656.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_22656.tif,train
Hardoi,2596,23128,D:\CV\images\before\Hardoi_2018-07-04_before_2596_23128.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_23128.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_23128.tif,train
Hardoi,2596,23364,D:\CV\images\before\Hardoi_2018-07-04_before_2596_23364.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_23364.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_23364.tif,train
Hardoi,2596,23600,D:\CV\images\before\Hardoi_2018-07-04_before_2596_23600.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_23600.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_23600.tif,train
Hardoi,2596,23836,D:\CV\images\before\Hardoi_2018-07-04_before_2596_23836.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_23836.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_23836.tif,train
Hardoi,2596,24072,D:\CV\images\before\Hardoi_2018-07-04_before_2596_24072.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_24072.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_24072.tif,train
Hardoi,2596,24308,D:\CV\images\before\Hardoi_2018-07-04_before_2596_24308.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_24308.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_24308.tif,train
Hardoi,2596,25016,D:\CV\images\before\Hardoi_2018-07-04_before_2596_25016.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_25016.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_25016.tif,train
Hardoi,2596,25252,D:\CV\images\before\Hardoi_2018-07-04_before_2596_25252.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_25252.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_25252.tif,train
Hardoi,2596,25724,D:\CV\images\before\Hardoi_2018-07-04_before_2596_25724.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_25724.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_25724.tif,train
Hardoi,2596,25960,D:\CV\images\before\Hardoi_2018-07-04_before_2596_25960.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_25960.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_25960.tif,train
Hardoi,2596,26196,D:\CV\images\before\Hardoi_2018-07-04_before_2596_26196.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_26196.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_26196.tif,train
Hardoi,2596,26668,D:\CV\images\before\Hardoi_2018-07-04_before_2596_26668.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_26668.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_26668.tif,train
Hardoi,2596,27140,D:\CV\images\before\Hardoi_2018-07-04_before_2596_27140.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_27140.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_27140.tif,train
Hardoi,2596,27376,D:\CV\images\before\Hardoi_2018-07-04_before_2596_27376.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_27376.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_27376.tif,train
Hardoi,2596,27612,D:\CV\images\before\Hardoi_2018-07-04_before_2596_27612.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_27612.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_27612.tif,train
Hardoi,2596,27848,D:\CV\images\before\Hardoi_2018-07-04_before_2596_27848.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_27848.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_27848.tif,train
Hardoi,2596,28084,D:\CV\images\before\Hardoi_2018-07-04_before_2596_28084.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_28084.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_28084.tif,train
Hardoi,2596,28556,D:\CV\images\before\Hardoi_2018-07-04_before_2596_28556.tif,D:\CV\images\after\Hardoi_2018-09-02_after_2596_28556.tif,D:\CV\masks\Hardoi_2018-07-04_mask_2596_28556.tif,train
